p	h	t
assimetria	diferença;	s.f. Discrepância; em que há diferença; falta de igualdade e de semelhança; com discordância: assimetria das formas.
assinatura	Ação	s.f. Ação de assinar; firma, nome escrito.
assinatura	preço,	Ajuste, preço, pagamento comercial, para aquisição de certos direitos durante tempo determinado: fazer a assinatura de uma revista.
assistencia	Ação	Ação de ajudar, de vir em auxílio: deve-se assistência aos infelizes.
assistencia	instituição	Assistência judiciária, instituição que dá às pessoas pobres os meios de pleitear em juízo.
assistencia	Intervenção	Direito. Intervenção judicial de um indivíduo em um pleito em que não é parte, mas em que tem interesse.
assoalho	Pavimento,	s.m. Pavimento, normalmente, de madeira.
assoalho	Pavimento	Pavimento feito em diversos tipos de materiais.
assobio	som	s.m. Ato de assobiar; som agudo produzido pela passagem do ar entre os lábios comprimidos.
assobio	Som	Som agudo: o assobio do vento.
assobio	Silvo,	Silvo, sibilo.
assobio	instrumento	Pequeno instrumento para assobiar; apito. (Var. assovio.)
associacao	Ação	s.f. Ação ou efeito de associar.
associacao	Entidade	Entidade que congrega pessoas que têm interesses comuns: associação profissional, esportiva.
associacao	Ação	Ação de aproximar, de ajuntar: associação de cores.
assombracao	Objeto	s.f. Objeto fantástico ou fantasma que assombra, que causa terror; abantesma, alma do outro mundo, aparição: ficar vendo assombrações é sinal de um parafuso a menos.
assombracao	Susto	Susto causado pelo encontro ou aparição de coisas sobrenaturais; terror procedente de causa inexplicável.
assombro	admiração	s.m. Excesso de admiração; espanto enorme; pasmo: o assombro contagiou os sobreviventes daquela tragédia.
assombro	terror	Algo ou alguém que provoca terror; que incita o pavor: a peste negra foi o assombro da Idade Média.
assombro	Alma	Brasil. Alma que vaga; fantasma.
assomo	Ação	s.m. Ação de assomar.
assomo	Aparência,	Aparência, indício: assomos de pudor.
assopradela	Ação	s.f. Pop. Ação de soprar; sopro, assopro.
assoreamento	Acúmulo	s.m. Acúmulo de sedimentos, de terra, de areia, de detritos, num rio, canal, lago etc., causado pelas águas das enchentes, geralmente resultado do uso incorreto do solo, dos desmatamentos, das monoculturas ou de ações evasivas que prejudicam o ambiente.
assuada	Ajuntamento	s.f. Ajuntamento de gente armada para fazer desordem.
assuada	Vozearia,	Vozearia, balbúrdia; vaia, apupo.
assuncao	Subida	[Religião] Subida de Maria ao céu após a sua morte; festividade em que comemora essa subida: assunção de Nossa Senhora.
assuncao	Extensão]	[Por Extensão] Transferência de uma responsabilidade a outrem: assunção da dívida.
assuncao	premissa	[Lógica] A premissa inicial de um silogismo; ação de compor ou de selecionar uma proposição para ser utilizada como premissa num raciocínio.
assuncao	Ação	Ação ou consequência de assumir, de tomar algo para si.
assunto	tema;	s.m. Matéria de que se trata; tema; objeto.
astenia	Ausência	s.f. Medicina. Ausência ou diminuição da força física.
astenia	Ausência	Psicopatologia. Ausência ou diminuição da resistência (força) do sistema nervoso ou do psiquismo.
astenia	Diminuição	Psicastenia. Diminuição das forças do sistema nervoso.
astenia	Diminuição	Neurastenia. Diminuição da forças do psiquismo.
asterisco	Sinal	s.m. Sinal tipográfico em forma de estrela (*), que indica uma remissão ou chamada para citação. (Quando repetido três vezes [***], indica lacuna ou omissão de trecho numa citação ou transcrição. Anteposto a uma palavra, serve para indicar que ela é hipotética, i.e., não documentada.)
asteroide	planetas	s.m. Cada um dos pequenos planetas visíveis somente com meios ópticos poderosos, e que circulam entre as órbitas de Marte e Júpiter.
astigmatismo	Anomalia	s.m. Anomalia da vista por defeito na curvatura do cristalino ou falta de homogeneidade na refringência dos meios transparentes do olho.
astigmatismo	Defeito	Defeito de um instrumento de óptica que não dá, de um ponto, uma imagem pontual, e sim duas lineares (linhas focais).
astro	Corpo	s.m. Corpo celeste luminoso por si mesmo ou que recebe claridade de outro corpo.
astro	Pessoa	Fig. Pessoa que se distingue pelo talento, virtude, sabedoria, beleza etc.
astro	Ator	Fig. Ator de cinema, teatro ou televisão etc., que se tornou famoso.
astrofisica	astronomia	s.f. Parte da astronomia que estuda os astros graças à aplicação de diversos métodos da física.
astrolabio	instrumento	s.m. Antigo instrumento náutico usado para determinar a altura dos astros, do Sol e das estrelas, de formato esférico ou em forma de um círculo dividido em graus, com uma espécie de haste móvel, sendo usado para definir a latitude e a longitude do local em que estava o ponto de observação.
astrologia	Doutrina,	s.f. Doutrina, estudo ou prática, que busca supor ou decifrar a influência dos astros na vida, no comportamento das pessoas e nos acontecimentos pelos quais elas passam, buscando ainda prever o futuro.
astrologo	Pessoa	s.m. Pessoa que se dedica à astrologia.
astronautica	Ciência	s.f. Ciência que tem por objeto o estudo e a realização da navegação interplanetária.  As primeiras pesquisas de astronáutica foram realizadas pelo russo Tsiolkovski, o americano Goddard, o francês Esnault-Pelterie, os alemães Oberth e Sanger. Em 4 de outubro de 1957, foi colocado em órbita o primeiro satélite artificial (soviético). O primeiro satélite tripulado, pelo soviético Gagárin, foi colocado em órbita em 1961. Em 1969, os americanos realizaram por duas vezes um desembarque na Lua e trouxeram de lá amostras do solo.
astronomia	Ciência	s.f. Ciência que estuda o universo, espaço sideral, e os corpos celestes, buscando analisar e explicar sua origem, seu movimento, sua constituição, seu tamanho etc.
astronomia	conhecimento	Astronomia náutica. O conhecimento da posição e do movimento dos astros aplicado à navegação.
astronomo	Especialista	s.m. Especialista em astronomia.
astucia	Habilidade	s.f. Habilidade de quem não se deixa enganar; esperteza.
astucia	Característica	Característica da pessoa astuta; qualidade de quem age de modo a buscar benefícios e vantagens às custas de outras pessoas.
astucia	Comportamento	P.ext. Comportamento de quem é travesso ou traquinas; traquinice.
ata	Registro	s.f. Registro escrito que contém os fatos, os acontecimentos e as resoluções de uma sessão, de uma assembleia, de uma convenção ou de uma reunião administrativa.
ata	Registro	Registro escrito da obrigação assumida por alguém: leram a ata da herança.
ata	Relato;	Figurado. Relato; qualquer texto ou documento que traz uma narrativa, uma crônica.
ata	formigas	s.f. Aspecto comum às formigas do gênero Atta, conhecidas como saúvas.
ata	árvore	s.f. Botânica. Fruta-de-conde; árvore da família das anonáceas, encontrada em regiões tropicais, cujas raízes e folhas possuem propriedades terapêuticas, sendo os frutos consumidos também por suas propriedades laxantes.
ata	Designação	Designação também usada para graviola e coração-de-boi.
atabaque	Tambor	s.m. Tambor feito com a pele de um animal distendida sobre um pau oco.  É percutido com as mãos e pode ter vários tamanhos. Sua origem é africana e sua difusão no Brasil foi feita pelos escravos negros.
atacadista	Negociante	s.m. e s.f. Negociante que vende por atacado.
atadura	curativos.	Tira comprida de gaze própria para curativos.
atalaia	Torre	s.f. Torre nos ângulos dos baluartes em que se abrigam as sentinelas; guarita, torre de vigia.
atalaia	Vigia,	Vigia, sentinela.
atalho	Caminho	s.m. Caminho fora da estrada principal, pelo qual se encurtam distâncias.
atalho	Expediente	Fig. Expediente para evitar demoras.
ataque	ação	s.m. Execução de uma ação ofensiva, geralmente violenta: ataque terrorista.
ataque	Ofensa;	Ofensa; ação de ofender, de causar dano moral: não aguento seus ataques.
ataque	Ação	Ação que desgasta ou destrói gradualmente alguma coisa: ataque de insetos.
ataque	Investida	Esportes. Investida para marcar ponto; grupo de jogadores responsáveis pela ofensiva.
ataque	ação	Disputa; ação de discutir e debater: ataque aos oponentes.
ataude	caixão;	s.m. Féretro ou caixão; caixa mortuária onde se coloca o corpo de uma pessoa morta para que ela seja enterrada.
ateismo	Doutrina	s.m. Doutrina que nega veementemente a existência de Deus, recusando toda afirmação e/ou sentimento que se baseiam direta ou indiretamente na fé, geralmente os adeptos do ateísmo buscam explicações materialistas e científicas para questões como a criação do universo e da humanidade.
ateismo	crença;	P.ext. Descrença; falta de crença; estado da pessoa que nega a existência de Deus.
ateista	Descrente;	Descrente; que não tem fé religiosa; que não acredita em nada.
ateista	Pessoa	s.m. e s.f. Pessoa que nega a existência de Deus ou de quaisquer divindades.
atelie	Lugar	s.m. (fr. atelier) Lugar onde trabalham artesãos e, sobretudo, artistas: Maria abriu um ateliê de costura.
atencao	Concentração	s.f. Concentração mental sobre algo específico: via a obra com atenção; tinha atenção ao assunto; estudava com atenção.
atencao	Dedicação;	Dedicação; expressão de cuidado: o pai tratava-a com atenção.
ateneu	estabelecimentos	s.m. Título de alguns estabelecimentos de ensino secundário.
atentado	Ato	s.m. Ato criminoso de violência que busca prejudicar algo ou alguém, normalmente, pautando-se numa causa política ou religiosa.
atentado	ação	Violação; ação ofensiva contra regras preestabelecidas, convenções ou normas sociais: atentado ao pudor; desrespeito às leis.
aterrissagem	Ação	s.f. Ação de aterrissar; aterragem.
aterro	Acúmulo	s.m. Acúmulo de terras removidas para nivelar ou altear um terreno.
aterro	Lugar	Lugar aterrado: o aterro do Flamengo.
ateu	Descrente;	P.ext. Descrente; que não acredita em nada.
ateu	Indivíduo	s.m. Indivíduo ateu: o ateu nega a existência de Deus ou de deuses.
atilamento	Esmero,	Esmero, correção.
atilho	pano,	s.m. Tira estreita de pano, couro etc.; cordão, fita; tudo o que serve para atar.
atimo	insetos	s.m. Pouco usual. Designação do gênero de coleópteros, ordem de insetos comumente conhecida pelos besouros.
atiradeira	Instrumento	s.f. Instrumento para atirar pedrinhas, feito com um elástico cujas extremidades se prendem às pontas de uma forquilha; o mesmo que estilingue.
atitude	Maneira	s.f. Maneira de se comportar, agir ou reagir, motivada por uma disposição interna ou por uma circunstância determinada; comportamento: qual foi a atitude do diretor em relação ao aluno? Demonstrou uma atitude irônica.
atitude	Modo	Modo que indica a posição do corpo; postura: policiais em atitude de combate.
atitude	Objetivo,	Objetivo, desejo: atitude de decepcionar alguém.
atitude	Comportamento	Comportamento repleto por afetação.
ativismo	Atitude	s.m. Atitude moral que privilegia as necessidades da vida e da ação, sobre os princípios teóricos./ Propaganda ativa a serviço de uma doutrina.
atletismo	esportes	s.m. Conjunto dos esportes atléticos (corridas, saltos, arremessos, lançamentos etc.)
atletismo	esportes	Prática de esportes atléticos.
atmosfera	Camada	s.f. Camada gasosa que envolve o globo terrestre, e, mais geralmente, camada gasosa que cerca um astro qualquer.
atmosfera	Ar	Ar de uma terra, de um lugar: atmosfera abafada.
atmosfera	Unidade	Unidade de pressão, numericamente igual ao peso de uma coluna cilíndrica de mercúrio que tem de altura 76 cm e de base 1 cm2: pressão de dez atmosferas.
atmosfera	Meio	Fig. Meio no qual se vive, considerado como capaz de exercer uma influência: atmosfera propícia.
ato	movimento	s.m. Para um ser vivo, movimento adaptado a um fim, ação: ato instintivo, voluntário.
ato	Manifestação	Manifestação da vontade humana: ato de bondade, de caridade; julga-se um homem pelos seus atos.
ato	Movimento	Movimento da alma para Deus: ato de fé, de contrição.
atol	Anel	s.m. Anel circular de coral, em mar aberto, formado sobre um banco de areia submerso, ou na cratera de um vulcão que afundou, abaixo da superfície do mar. —Geralmente, sobre essa espécie de recife forma-se uma fina camada de solo, em que aparece vegetação. Plantas tropicais brotam no atol, que se transforma em uma ilha de coral.
atoleiro	Terreno	s.m. Terreno pantanoso; lodaçal, lamaçal.
atoleiro	Embaraço	Fig. Embaraço de que não é fácil sair.
atoleiro	Aviltamento	Fig. Aviltamento moral.
atomicidade	Número	s.f. Química  Número de átomos de uma molécula.
atomo	partícula	s.m. Fisioquímica. A menor partícula que compõe um elemento químico, composta pelo núcleo cujo interior está repleto de prótons e nêutros, e por elétrons que estão ao redor deste mesmo núcleo.
atomo	Intervalo	P.ext. Intervalo de tempo muito breve; instante.
atonia	Falta	s.f. Falta de força.
atonia	Fraqueza	Fraqueza geral de todos os órgãos e particularmente dos órgãos contráteis.
atonia	Inércia	Fig. Inércia moral ou intelectual.
ator	Pessoa	s.m. Pessoa que representa em teatro, cinema, rádio, televisão; artista, intérprete. V. ATRIZ.
atordoamento	Ação	s.m. Ação ou efeito de atordoar ou atordoar-se.
atracacao	Ação	s.f. Ação ou efeito de atracar ou atracar (-se).
atracacao	Ação	Marinha. Ação ou efeito de atracar, de achegar uma embarcação a outra.
atracacao	Ação	Marinha. Ação ou efeito de fixar porta, vigilante ao seu local.
atracacao	Combate	Informal. Combate corporal, luta ou briga.
atracacao	Relação	Informal. Pej. Relação física entre duas pessoas que possuem algum vínculo afetivo, que trocam beijos ou abraços de forma intensa e que pode resultar ou não no coito, amasso.
